Product Code,Product Name,Variant,Expected,Counted
28612410,iPad LCD and Digitizer ,Black,-22,0
28859500,Samsung Galaxy Tab E 8.0 T377T WiFi + 4G,,1,0
28931689,LG K20 LCD,,-3,0
28985585,Galaxy A51,,1,0
28997859,Samsung J6 32GB,,0,0
29116479,Motorola HK115,,-2,0
29262124,samsung U Headphones,,3,0
29290923,iPhone SE Battery,,3,0
29295201,LG K8V (VER) - with $40 plan,,0,0
29775050,Iphone 7 32 GB,,-4,0
29822100,OtterBox - Commuter Case for Apple iPhone 8 Plus / 7 Plus - Ballet Way,,1,0
29914775,Samsung S7 Edge Back Camera Lense,,-2,0
30121762,Air Pod Pro,,2,0
30392909,iPhone XS Max rear camera,,-1,0
30393339,HP Laptop (Refurbished),,-1,0
30402060,iPhone 6 16GB (Refurbished),,0,0
30418401,Otterbox - Commuter Case for Apple iPhone Xs / X - Black,,2,0
30418502,Unlock Service,,-4137,0
30438348,OtterBox - Symmetry Case for Samsung Galaxy Note 9 - Ivy Meadow,,1,0
30616578,Alcatel A 30 Plus,,1,0
30632467,Samsung galaxy s9 ,,-5,0
30997954,iphone XS Max 64GB Refurbished,,-3,0
31028459,alcatel volta,,-3,0
31044079,Air Pods 2,,-4,0
31047466,Xbox One S 1TB Console,,0,0
31089865,Galaxy S7 Battery,,1,0
31154554,OtterBox - Commuter Case for Apple iPhone 8 Plus / 7 Plus - Black,,-2,0
31256940,Tab Affix,,0,0
31486031,T&G bluetooth speaker,,3,0
31530910,Iphone XR 64 GB (Refurbished) ,,-3,0
31732374,HP EliteBook Folio 9480m i5-4210,,1,0
32048428,iPhone 6S 32GB Refurbished,Silver,0,0
32048428,iPhone 6S 32GB Refurbished,Space Gray,3,0
32229203,Sony Xperia,,0,0
32234568,iphone HP,,2,0
32415095,Galaxy A71,,0,0
32451579,iPhone 13 Pro Max 128GB Graphite,,-1,0
32627760,Generic Repair Parts ,,3,0
33010362,Printer Cable,,-1,0
33051102,OtterBox - Commuter Case for Apple iPhone 8 / 7 -  Ballet Way,,-1,0
33201519,Logitech® MK235 Wireless Optical Mouse And Keyboard,,2,0
3333333,MACBOOK AIR,,-3,0
34303758,Note 10 plus 256 GB,,1,0
34306037,Zte Max XL N9560 LCD,,1,0
34327665,portable Charger,,-7,0
34397630,Revvl Plus,,1,0
34479761,ZTE ZMAX Pro Z981 32GB Black,,-1,0
34493501,Samsung J7 Prime 32GB,,1,0
34537977,Zipper Earphones,,-1,0
34623850,iPhone 5S (16GB),,-1,0
34966131,REFLASH,,-1,0
3.50184E+14,Galaxy S20 FE,,0,0
35064481,Galaxy S7 Edge LCD,,-6,0
35114102,samsung tab 7 ,,-1,0
35136825,iPhone XR 64 GB,,-1,0
35164045,iPhone 7 Front Camera Flex Cable,,-4,0
35184965,Alcatel Tetra 16 GB,,-3,0
35317143,iPhone 6 Plus 64GB Certified Refurbished,,-1,0
35379132,Samsung J7 J727T1 LCD,,-4,0
35432799,type C to USB cable,,-4,0
35646102,iphone xr housing,,-2,0
3.56474E+14,iPhone SE 2020,,0,0
35761633,Galaxy S10 plus 512 GB,,0,0
35897695,Samsung S7 Edge Back door glass,,-1,0
35940745,Google - Home - Smart Speaker with Google Assistant,,2,0
36035938,Galaxy M30,,0,0
36044773,Verizon Ellipsis 8 QTAQZ3,,-1,0
36059855,LG Fortune,,-1,0
36360746,Samsung Galaxy Note 8 64 GB,,1,0
36517226,iPhone 8 Plus Battery,,1,0
36537715,Samsung S8 Back door glass,,-11,0
36627334,Android FRP Unlock,,-1E+11,0
36786004,Galaxy S6 Edge Battery,,3,0
36790076,PS 4 Repair/ HDMI Port Repair,,-18,0
36852921,iphone 7 plus 128 GB,,2,0
36870373,Motorola Boom2,,-3,0
37220910,iphone 7 headphone adapter ,,5,0
37225428,Galaxy S10 128GB ,,-2,0
37954142,Apple Watch Seies 3 38mm,,-2,0
38355760,iPhone 6s 128GB,,0,0
38454437,Beats Solo Red Headphone wired ,,-1,0
38567291,Galaxy S6 LCD ,,-5,0
38730830,Audster AUD-L660,,-1,0
38746257,iPhone 6 Home Button,,-18,0
38913049,LG 8X DVD WRITER,,2,0
38914037,I pad Mini,,2,0
39120878,Samusng J700 T1 LCD,,-3,0
39164266,ATT IPAD UNLOCK (CARRIER),,-1,0
39351801,LG journey,,-4,0
39499351,Otterbox - Symmetry Case for Apple iPhone Xs / X - Ashed For It,,1,0
39524077,Samsung S6 Back door glass,,-2,0
39725203,"mophie - Power Boost XL Power Bank 10,400 mAh -  Black",,-1,0
39836060,iPad Digitizer,,-1E+11,0
39873942,Amazon Fire TV 4K Ultra,,-2,0
39884685,urbeats earbuds,,0,0
39955976,AirPod Genuine,,-18,0
40100376,Dell Inspiron T24T laptop ,,0,0
40618015,iPhone 4S Battery,,1,0
